WindVxi,RotSpeed,BldPitch1
3.0,5.0,3.8603
3.5495,5.0,3.8544
4.0679,5.0,3.6639
4.5539,5.0,3.3105
5.0064,5.0,2.8757
5.4244,5.0,2.3891
5.8069,5.0,1.8869
6.153,5.0,1.3907
6.4619,5.0,0.91488
6.733,5.0,0.46963
6.9655,5.0,0.069248
7.1589,5.0861,0.0
7.3128,5.1954,0.0
7.4269,5.2765,0.0
7.5009,5.329,0.0
7.5345,5.3529,0.0
7.5412,5.3577,0.0
7.5883,5.3912,0.0
7.6757,5.4532,0.0
7.8031,5.5437,0.0
7.9702,5.6625,0.0
8.1767,5.8092,0.0
8.4221,5.9836,0.0
8.7059,6.1851,0.0
9.0273,6.4135,0.0
9.3856,6.6681,0.0
9.78,6.9483,0.0
10.21,7.2535,0.0
10.659,7.4992,2.3852e-18
10.673,7.4992,0.54761
11.17,7.4992,3.7438
11.699,7.4992,5.4014
12.259,7.4992,6.7606
12.848,7.4992,7.9749
13.465,7.4992,9.1026
14.109,7.4992,10.172
14.778,7.4992,11.201
15.471,7.4992,12.199
16.185,7.4992,13.171
16.921,7.4992,14.123
17.674,7.4992,15.058
18.445,7.4992,15.977
19.231,7.4992,16.881
20.03,7.4992,17.771
20.841,7.4992,18.647
21.661,7.4992,19.509
22.489,7.4992,20.357
23.323,7.4992,21.191
24.16,7.4992,22.009
25.0,7.4992,22.813
